"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Vérifie que GET /api/clients retourne 200 avec la liste des clients persistés","1","GET /api/clients — 200 avec clients en base","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","getAllClients_shouldReturn200WithClients"
"Vérifie que POST /api/dishes retourne 409 + CODE_DB_INTEGRITY_VIOLATION si le nom existe déjà","1","409 — nom dupliqué","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/dishes","com.resto.pizzeria_api.controller.DishControllerTest$CreateDish","shouldReturn409WhenNameAlreadyExists"
"Vérifie que POST /api/dishes retourne 400 + CODE_NOT_VALIDATED quand name=""""","2","400 — name vide","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/dishes","com.resto.pizzeria_api.controller.DishControllerTest$CreateDish","shouldReturn400WhenNameBlank"
"Doit mettre à jour un article existant (quantité)","5","Doit mettre à jour un article existant (quantité)","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","saveOrderItem","com.resto.pizzeria_api.service.OrderItemServiceTest$SaveOrderItem","shouldUpdateExistingOrderItemQuantity"
"Vérifie que DELETE /api/orders/{id} retourne 404 + CODE_NOT_FOUND pour un ID inexistant","1","404 — commande inexistante","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/orders/{id}","com.resto.pizzeria_api.controller.OrderControllerTest$DeleteOrder","shouldReturn404WhenNotFound"
"Après DELETE, la commande ne doit plus apparaître dans GET /api/orders","1","Commande hard-deletée disparaît du GET /api/orders","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/orders/{id}","com.resto.pizzeria_api.controller.OrderControllerTest$DeleteOrder","shouldMakeOrderInvisibleInGetAll"
"Vérifie que GET /api/clients retourne 200 avec un tableau vide quand la base est vide","1","GET /api/clients — 200 tableau vide","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","getAllClients_shouldReturn200WithEmptyArray"
"Vérifie que POST /api/dishes retourne 400 + CODE_NOT_VALIDATED quand price=null","1","400 — price null","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/dishes","com.resto.pizzeria_api.controller.DishControllerTest$CreateDish","shouldReturn400WhenPriceNull"
"Doit créer un article et retourner l'objet avec son ID généré","6","Doit créer un article et retourner l'objet avec son ID généré","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","saveOrderItem","com.resto.pizzeria_api.service.OrderItemServiceTest$SaveOrderItem","shouldCreateOrderItemAndReturnWithGeneratedId"
"Doit lever ApiNotFoundException si l'ID n'existe pas","5","Doit lever ApiNotFoundException si l'ID n'existe pas","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getDishById","com.resto.pizzeria_api.service.DishServiceTest$GetDishById","shouldThrowApiNotFoundExceptionWhenIdNotExists"
"Vérifie que GET /api/order-items retourne 200 avec [] quand la table H2 est vide","13","200 — tableau vide","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/order-items","com.resto.pizzeria_api.controller.OrderItemControllerTest$GetAllOrderItems","shouldReturn200WithEmptyArray"
"Doit retourner la commande avec ses items et la relation bidirectionnelle item→order","6","Doit retourner la commande avec ses items si présents","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getOrderById","com.resto.pizzeria_api.service.OrderServiceTest$GetOrderById","shouldReturnOrderWithItems"
"Doit retourner une liste vide si aucune commande en base","857","Doit retourner une liste vide si aucune commande","","Tue Apr 28 07:28:20 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getAllOrders","com.resto.pizzeria_api.service.OrderServiceTest$GetAllOrders","shouldReturnEmptyListWhenNoOrders"
"Doit retourner le plat si l'ID existe et que le plat est disponible","7","Doit retourner le plat si l'ID existe et que le plat est disponible","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getDishById","com.resto.pizzeria_api.service.DishServiceTest$GetDishById","shouldReturnDishWhenIdExistsAndAvailable"
"Vérifie que GET /api/dishes/{id} retourne 404 + CODE_NOT_FOUND pour un ID inexistant","1","404 — plat inexistant","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/dishes/{id}","com.resto.pizzeria_api.controller.DishControllerTest$GetDishById","shouldReturn404WhenNotFound"
"Vérifie que POST /api/order-items retourne 201 + l'ID généré + la quantité correcte","1","201 — article créé","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/order-items","com.resto.pizzeria_api.controller.OrderItemControllerTest$CreateOrderItem","shouldReturn201WhenValid"
"Doit retourner l'article avec ses relations Order et Dish","100","Doit retourner l'article avec ses relations Order et Dish","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getOrderItemById","com.resto.pizzeria_api.service.OrderItemServiceTest$GetOrderItemById","shouldReturnOrderItemWithRelations"
"Vérifie que le contrôleur auto-assigne creationDate lors du POST /api/orders","1","201 — creationDate auto-assignée","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/orders","com.resto.pizzeria_api.controller.OrderControllerTest$CreateOrder","shouldAutoAssignCreationDate"
